Name,protocol
AgentServers.Ssl.keyAlgorithm,FTP
AgentServers.Ssl.keyAlgorithm,HTTP
AgentServers.Ssl.protocol,FTP
AgentServers.Ssl.protocol,HTTP
AgentServers.Ssl.trustAlgorithm,FTP
AgentServers.Ssl.trustAlgorithm,HTTP
CertificateStores.AccountLocalCertificateStore.classname,FTP
CertificateStores.AccountLocalCertificateStore.classname,HTTP
CertificateStores.AccountLocalPGPCertificateStore.classname,FTP
CertificateStores.AccountLocalPGPCertificateStore.classname,HTTP
CertificateStores.LocalCertificateStore.classname,FTP
CertificateStores.LocalCertificateStore.classname,HTTP
CertificateStores.LocalCertificateStore.Keystore.password,HTTP
CertificateStores.LocalPGPCertificateStore.classname,FTP
CertificateStores.LocalPGPCertificateStore.classname,HTTP
CertificateStores.PartnerCertificateStore.classname,FTP
CertificateStores.PartnerCertificateStore.classname,HTTP
CertificateStores.PartnerPGPCertificateStore.classname,FTP
CertificateStores.PartnerPGPCertificateStore.classname,HTTP
CertificateStores.TrustedCertificateStore.classname,FTP
CertificateStores.TrustedCertificateStore.classname,HTTP
CertificateStores.UserCertificateStore.classname,FTP
CertificateStores.UserCertificateStore.classname,HTTP
Ftp.BannerMessageFile,FTP
Ftp.CCC.TlsShutdownInitiator,FTP
Ftp.CommandLogging.File,FTP
Ftp.Commands,FTP
Ftp.Connection.Pasv.Allow,FTP
Ftp.Connection.Src.Class,FTP
Ftp.DataBufferSize,FTP
Ftp.DataTimeout,FTP
Ftp.FeatCommand.ModeReply,FTP
Ftp.FIPS.Listeners.Ssl.EnabledCipherSuites,FTP
Ftp.GracefulShutdownTimeout,FTP
Ftp.Host,FTP
Ftp.HostNameVerificationEnabled,FTP
Ftp.Hsm.enabled,FTP
Ftp.ListenBacklog,FTP
Ftp.Listeners.Ssl.enabledCipherSuites,FTP
Ftp.Listeners.Ssl.enabledProtocols,FTP
Ftp.Listeners.Ssl.keyAlgorithm,FTP
Ftp.Listeners.Ssl.protocol,FTP
Ftp.Listeners.Ssl.trustAlgorithm,FTP
Ftp.LoginFailureDelay,FTP
Ftp.MaxClients,FTP
Ftp.MsgBanner,FTP
Ftp.MsgReady,FTP
Ftp.PassiveAddr,FTP
Ftp.PassiveBase,FTP
Ftp.PassiveSpan,FTP
Ftp.Port,FTP
Ftp.ReadBufferSize,FTP
Ftp.ReadyMessageFile,FTP
Ftp.ReceiveBufferSize,FTP
Ftp.ReverseDnsLookups,FTP
Ftp.SIT.Passive.GlobalPreferredMethod,FTP
Ftp.SPEMode.enabled,FTP
Ftp.SPEMode.preAuthCommands,FTP
Ftp.Ssl.Certificate,FTP
Ftp.Ssl.ClientCertificate,FTP
Ftp.Ssl.Fips,FTP
Ftp.Ssl.StrictRfc2228,FTP
Ftp.Ssl.StrictRfc2228CertAuth,FTP
Ftp.SYSTResponse,FTP
Ftp.WorkerThreads.maxThreads,FTP
FtpSsl.Enabled,FTP
Hsm.keystorePassword,FTP
Hsm.keystorePassword,HTTP
Hsm.keystorePath,FTP
Hsm.keystorePath,HTTP
Http.AcceptQueueSize,HTTP
Http.AllowedAuthenticationBodyMaxSize,HTTP
Http.AllowedAuthenticationParameters,HTTP
Http.AllowedAuthenticationParametersMaxSize,HTTP
Http.Authentication.MaxPasswordLength,HTTP
Http.ConfidentialPort,HTTP
Http.Connection.MaxIdleTime,HTTP
Http.CsrfLandingParamWhiteList,HTTP
Http.CurrentDirIcon,HTTP
Http.DefaultFileIcon,HTTP
Http.DefaultHtmlTemplate,HTTP
Http.DeleteFileOnFailedIntegrityCheck,HTTP
Http.DirPathIcon,HTTP
Http.DirSpaceIcon,HTTP
Http.EnableStaticFileCache,HTTP
Http.ErrorOnIncorrectUriDuringLogon,HTTP
Http.FdxAlias,HTTP
Http.FdxAuthAliases,HTTP
Http.FdxAuthReply,HTTP
Http.FdxUserAgentTableAllow,HTTP
Http.FdxUserAgentTableDeny,HTTP
Http.FileIcon,HTTP
Http.FIPS.Ssl.EnabledCipherSuites,HTTP
Http.GracefulShutdownTimeout,HTTP
Http.Hsm.enabled,HTTP
Http.JsessionID.Enabled,HTTP
Http.MaxLoggedInUsers,HTTP
Http.MaxSimultaneousTransfers,HTTP
Http.MessageOfTheDay.content,HTTP
Http.MessageOfTheDay.enabled,HTTP
Http.OptionsIcon,HTTP
Http.Password.Compatibility.Mode,HTTP
Http.RedirectHostname,HTTP
Http.RedirectWhiteList,HTTP
Http.Request.MinBandwidth,HTTP
Http.ResourceFileExtensions,HTTP
Http.ResponseEncodings.gzippedFileExtensions,HTTP
Http.ReverseDNSLookup,HTTP
Http.Security.ContentSecurityPolicy,HTTP
Http.Security.ContentTypeOptions,HTTP
Http.Security.ExpectCT,HTTP
Http.Security.ReferrerPolicy,HTTP
Http.Security.XSSProtection,HTTP
Http.ServerHeaderTokens,HTTP
Http.Ssl.Certificate,HTTP
Http.Ssl.ClientCertificate,HTTP
Http.Ssl.EnabledCipherSuites,HTTP
Http.Ssl.Fips,HTTP
Http.Ssl.KeyManagerFactoryAlgorithm,HTTP
Http.Ssl.Protocol,HTTP
Http.Ssl.Protocols,HTTP
Http.Ssl.SecureRandomAlgorithm,HTTP
Http.Ssl.SessionCacheSize,HTTP
Http.Ssl.SessionCaching,HTTP
Http.Ssl.SessionTimeout,HTTP
Http.StaticFileCacheTimeout,HTTP
Http.ThreadPool.MaxThreads,HTTP
Http.ThreadPool.MinThreads,HTTP
Http.ThreadPool.ThreadsIdleTimeMillis,HTTP
Http.UseCustomListAgent,HTTP
Http.UserAgentBlackList,HTTP
Http.UserAgentWhiteList,HTTP
HttpEnabled,HTTP
HttpHost,HTTP
HttpPort,HTTP
HttpsEnabled,HTTP
HttpsHost,HTTP
HttpsPort,HTTP
LoginSettings.EndUser.SSO,HTTP
PackageManager.MailboxFolderName,HTTP
PasswordReset.Enabled,HTTP
PasswordReset.Interval,HTTP
PasswordReset.LinkExpirationInterval,HTTP
PasswordReset.RequireUsername,HTTP
Server.Dnslookups,FTP
Server.Dnslookups,HTTP
Server.LogCommands,FTP
Server.LogTransfers,FTP
Server.ReverseDNSLookups,FTP
Server.ReverseDNSLookups,HTTP
Server.UsageMonitor,FTP
Users.DefaultUmask,FTP
Users.DefaultUmask,HTTP
Users.DeniedGroups,FTP
Users.DeniedGroups,HTTP
Users.DeniedUsers,FTP
Users.DeniedUsers,HTTP
Users.Downloads,FTP
Users.Limits,FTP
Users.Limits,HTTP
Users.Limits.Messages,FTP
Users.Restrictions.All,FTP
Users.Restrictions.Chmod,FTP
Users.Restrictions.Delete,FTP
Users.Restrictions.Mkdir,FTP
Users.Restrictions.Overwrite,FTP
Users.Restrictions.Rename,FTP
Users.Restrictions.Rmdir,FTP
Users.Restrictions.Umask,FTP
Users.Session.idleTimeout,FTP
Users.Session.idleTimeout,HTTP
Users.Session.maxAuthAttempts,FTP
Users.Session.maxAuthAttempts,HTTP
Users.SslEncryption,FTP
Users.SslEncryption,HTTP
Users.Uploads,FTP
Webservices.Admin.Host.Whitelist,HTTP
Webservices.EntriesPerPage,HTTP
Webservices.Public.Host.Whitelist,HTTP
