description,name,cluster_node,profile,value,read_only,is_disabled,is_specified,encrypted,export_configuration,export_key,export_path
Defines the host used for TM ssl listener. Possible value is localhost.,TransactionManager.SSL.Listener.Host,3e4c62419aaea28a215826ee96afa769,Default,0.0.0.0,FALSE,FALSE,TRUE,FALSE,configuration.xml,@host,"/Configuration/Modules/TransactionManager/Listeners/Listener[@ssl=""true""]"
This is the ST installation home directory. This parameter is supported only for Standard Cluster.,Cluster.Service.Scheduler.File.configurationFile.relative,3e4c62419aaea28a215826ee96afa769,Default,fdHome,FALSE,FALSE,TRUE,FALSE,configuration.xml,@relative,"/Configuration/Modules/Cluster/Service[@name=""Scheduler""]/File[@alias=""configurationFile""]"
The maximum number of threads for EventQueueMessageProcessing. This parameter is supported only for Standard Cluster.,Cluster.ThreadPools.ThreadPool.EventQueueMessageProcessing.maxThreads,3e4c62419aaea28a215826ee96afa769,Default,5,FALSE,FALSE,TRUE,FALSE,configuration.xml,@maxThreads,"/Configuration/Modules/Cluster/ThreadPools/ThreadPool[@name=""EventQueueMessageProcessing""]"
The minimum number of threads for EventQueueMessageProcessing. This parameter is supported only for Standard Cluster.,Cluster.ThreadPools.ThreadPool.EventQueueMessageProcessing.minThreads,3e4c62419aaea28a215826ee96afa769,Default,3,FALSE,FALSE,TRUE,FALSE,configuration.xml,@minThreads,"/Configuration/Modules/Cluster/ThreadPools/ThreadPool[@name=""EventQueueMessageProcessing""]"
The maximum number of threads for TransferStatusMessageProcessing. This parameter is supported only for Standard Cluster.,Cluster.ThreadPools.ThreadPool.TransferStatusMessageProcessing.maxThreads,3e4c62419aaea28a215826ee96afa769,Default,5,FALSE,FALSE,TRUE,FALSE,configuration.xml,@maxThreads,"/Configuration/Modules/Cluster/ThreadPools/ThreadPool[@name=""TransferStatusMessageProcessing""]"
How much time (in milliseconds) a thread from the thread pool should stay idle before it's stopped for GeneralMessageProcessing. This parameter is supported only for Standard Cluster.,Cluster.ThreadPools.ThreadPool.GeneralMessageProcessing.idleTime,3e4c62419aaea28a215826ee96afa769,Default,60,FALSE,FALSE,TRUE,FALSE,configuration.xml,@idleTime,"/Configuration/Modules/Cluster/ThreadPools/ThreadPool[@name=""GeneralMessageProcessing""]"
The minimum number of threads for GeneralMessageProcessing. This parameter is supported only for Standard Cluster.,Cluster.ThreadPools.ThreadPool.GeneralMessageProcessing.minThreads,3e4c62419aaea28a215826ee96afa769,Default,2,FALSE,FALSE,TRUE,FALSE,configuration.xml,@minThreads,"/Configuration/Modules/Cluster/ThreadPools/ThreadPool[@name=""GeneralMessageProcessing""]"
Bind address for Admin. Leave empty for any address.,Admin.Host,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,TRUE,FALSE,NO value,NO value,NO value
The host the plain HTTP server binds to.,HttpHost,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,TRUE,FALSE,configuration.xml,@host,"/Configuration/Modules/Http/Listeners/Listener[@ssl=""false""]"
Ftp bind host.,Ftp.Host,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,FALSE,FALSE,NO value,NO value,NO value
