description,name,cluster_node,profile,value,read_only,is_disabled,is_specified,encrypted,export_configuration,export_key,export_path
Bind address for Admin. Leave empty for any address.,Admin.Host,7af3b8f69d4d812dce18a26c56d9100a,Default,,false,false,false,false,admin.properties,Admin.Host,
The frontend host to use for returning an asynchronous MDN receipt  [accessible through admin GUI].,As2.NonSSL.Listener.Host,7af3b8f69d4d812dce18a26c56d9100a,Default,0,false,false,true,false,NO value,NO value,NO value
The frontend host to use for returning an asynchronous MDN receipt over ssl [accessible through admin GUI].,As2.SSL.Listener.Host,7af3b8f69d4d812dce18a26c56d9100a,Default,0,false,false,true,false,NO value,NO value,NO value
"The IP address (IPv4 or IPv6) on the local machine used for inter cluster communication. This option is used in both Standard Cluster and Enterprise Cluster. 
                      EC uses it to bind the Coherence listener while SC uses it for HTTP sync messaging.",Cluster.Communication.Host,7af3b8f69d4d812dce18a26c56d9100a,Default,,false,false,false,false,cache.management,,/coherence/cluster-config/unicast-listener/localhost
The default admin name is admin. This parameter is supported only for Standard Cluster.,Cluster.DynamicSync.adminName,7af3b8f69d4d812dce18a26c56d9100a,Default,admin,false,false,true,false,NO value,NO value,NO value
"The default value is com.tumbleweed.st.server.sync.provider.http.HttpClientOutputStream. This class is implemented as an HTTP POST based transport of bytes. The HTTP client used is the Apache HttpClient
                      class. A limitation of this class is that POST data needs to be read from an {@code InputStream} and therefore a
                      mechanism is needed to convert the data written to this stream to a format suitable for use by the HttpClient class. This parameter is supported only for Standard Cluster.",Cluster.DynamicSync.httpClassName,7af3b8f69d4d812dce18a26c56d9100a,Default,com.tumbleweed.st.server.sync.provider.http.HttpClientOutputStream,false,false,true,false,NO value,NO value,NO value
"Protocol socket factories are used to uniquely identify Protocols and HostConfigurations, and equals() and hashCode() are required for the correct operation of some connection managers. This parameter is supported only for Standard Cluster.",Cluster.DynamicSync.httpSocketFactory,7af3b8f69d4d812dce18a26c56d9100a,Default,,false,false,true,false,NO value,NO value,NO value
Not defined by default. This parameter is supported only for Standard Cluster.,Cluster.DynamicSync.keyAlias,7af3b8f69d4d812dce18a26c56d9100a,Default,,false,false,true,false,NO value,NO value,NO value
Boolean to indicate if peer certificate validation is required. The default value is false. This parameter is supported only for Standard Cluster.,Cluster.DynamicSync.peerValidation,7af3b8f69d4d812dce18a26c56d9100a,Default,false,false,false,true,false,NO value,NO value,NO value
The URI to which data will get POSTed. This parameter is supported only for Standard Cluster.,Cluster.DynamicSync.uri,7af3b8f69d4d812dce18a26c56d9100a,Default,,false,false,true,false,NO value,NO value,NO value
Configures the host for SSL listener. It's not configured by default. This parameter is supported only for Standard Cluster.,Cluster.Listeners.Listener.host.SSL,7af3b8f69d4d812dce18a26c56d9100a,Default,,false,false,true,false,NO value,NO value,NO value
Folder monitor cluster service. Reference to com.tumbleweed.st.server.folder.FolderMonitorClusterService class. This parameter is supported only for Standard Cluster.,Cluster.Service.FolderMonitor.className,7af3b8f69d4d812dce18a26c56d9100a,Default,com.tumbleweed.st.server.folder.FolderMonitorClusterService,false,false,true,false,NO value,NO value,NO value
Path to the monitor.properties file. The default path is /conf/monitor.properties. This parameter is supported only for Standard Cluster.,Cluster.Service.FolderMonitor.File.configurationFile.path,7af3b8f69d4d812dce18a26c56d9100a,Default,,false,false,true,false,NO value,NO value,NO value
This is the ST installation home directory. This parameter is supported only for Standard Cluster.,Cluster.Service.FolderMonitor.File.configurationFile.relative,7af3b8f69d4d812dce18a26c56d9100a,Default,,false,false,true,false,NO value,NO value,NO value
Name for the FolderMonitor service. The default is FolderMonitor. This parameter is supported only for Standard Cluster.,Cluster.Service.FolderMonitor.name,7af3b8f69d4d812dce18a26c56d9100a,Default,FolderMonitor,false,false,true,false,NO value,NO value,NO value
ST Scheduler cluster service. Reference to com.tumbleweed.st.server.scheduler.SchedulerServerClusterService class. This parameter is supported only for Standard Cluster.,Cluster.Service.Scheduler.className,7af3b8f69d4d812dce18a26c56d9100a,Default,com.tumbleweed.st.server.scheduler.SchedulerServerClusterService,false,false,true,false,NO value,NO value,NO value
